,StudySeq,Mean_MFCC1,Mean_MFCC2,Mean_MFCC3,Mean_MFCC4,Mean_MFCC5,Mean_MFCC6,Mean_MFCC7,Mean_MFCC8,Mean_MFCC9,Mean_MFCC10
0,StudySeq1,-38.016057854299454,-39.698729672312474,-40.81674932607469,-40.391464108859886,-43.33148222388728,-46.84081224884236,-43.17443408308259,-38.842859314135964,-38.604363801923505,-42.21665236504643
1,StudySeq2,-38.211044231234766,-35.62262667832077,-36.94377733439088,-37.19969739753261,-39.554697864996555,-39.3535525219678,-41.30254239203345,-41.67385286357538,-41.32617202173704,-41.806482064953755
2,StudySeq3,-39.84123679392848,-42.916764182007825,-43.67144060602281,-40.54643708009299,-43.83682842376234,-45.331549267660584,-43.83274429038864,-47.16198099543153,-80.56181215327562,-80.56181215327562
3,StudySeq4,-40.6155104746088,-41.98133575824423,-39.44872833708199,-39.10138141105967,-43.984637010043656,-45.90062501642786,-42.4146898856549,-44.81290302394028,-48.62920606692841,-80.07675984519408
4,StudySeq5,-44.34641298217652,-42.55147358401611,-52.38192196229984,-44.652672048015624,-42.25917580462191,-46.18300685064979,-45.15042852655988,-45.569583836866414,-39.729087262961684,-47.804977486561356
5,StudySeq6,-42.60035747247424,-43.82597146318177,-46.76397101602398,-46.622338191074725,-46.44136791706623,-47.16561308715106,-47.994672820411665,-44.81148727203962,-44.53479750809912,-46.563909933360186
6,StudySeq7,-39.96688230822022,-43.327257158568884,-41.33602834029086,-40.76549226414929,-43.253501984614395,-47.67701814734517,-46.96994640942308,-46.66614041521893,-40.22841752766204,-39.48398036615593
7,StudySeq8,-42.61378770229382,-40.3942430820261,-42.158535479232796,-42.65235912981892,-42.72818945756639,-40.68296972197361,-40.94303137197143,-41.511165949412465,-42.32764240152994,-42.206642635279145
8,StudySeq9,-44.121279442259954,-46.506850617180916,-49.33411434563387,-47.08755043912858,-47.90713887004164,-43.740940023761205,-46.41627415688459,-43.530389882801884,-43.700221484461885,-43.29590402219173
9,StudySeq10,-42.07698362698909,-44.962104663582075,-46.14579792048034,-43.843541258043246,-45.40960429870927,-41.876128365291784,-41.12307407229176,-46.27812681623185,-43.87442264936829,-43.779437773156175
10,StudySeq11,-41.043366463740895,-41.74087068474667,-40.860465363213606,-41.997078671602964,-42.33170097221977,-39.91416770109634,-43.24085148554729,-63.625720809582944,-40.16710761056394,-43.804563458657725
11,StudySeq12,-45.39880413162176,-42.80150117280263,-43.835466956759305,-45.058448273136236,-43.70163802610594,-46.49507741032721,-42.097537209522415,-49.88860597644273,-67.43131297889676,-48.310839776840446
12,StudySeq13,-42.90216203975764,-48.32164650687995,-47.86179332734132,-44.1190701805575,-41.45953349775502,-40.27384944572741,-40.911952522340385,-45.06866825170016,-48.795242086164755,-79.39743375216122
13,StudySeq14,-39.68785410191438,-43.40589059158379,-43.44853047707141,-46.45715574973182,-45.105889118425125,-46.628102690887275,-42.87305429890811,-45.57686738183592,-43.818597337617646,-43.583342804511545
14,StudySeq15,-43.194021471966025,-40.947417231326604,-40.5856054451145,-41.14952701662307,-42.84814072838792,-44.85729495691187,-46.889623583106285,-39.1532607027985,-37.48556005774123,-40.19733880326437
15,StudySeq16,-47.59129155790141,-50.17555835177291,-54.30874951903435,-46.75674739499674,-44.176016448105464,-45.36656145230954,-43.15370934501246,-45.438359195709495,-43.728849696197386,-44.04644215161561
16,StudySeq17,-48.17804850918139,-42.480071457739086,-46.1752029950493,-43.861697093739195,-42.09288514212281,-44.71327110257773,-46.10515395458647,-50.07205145394896,-52.219230665372024,-51.25631284069189
17,StudySeq18,-47.710374731136504,-49.10076901584891,-48.63168671351858,-49.191527514381505,-50.26055900779351,-52.74952983818138,-48.53187450388771,-50.42869776050674,-52.28691041402435,-43.85235980633409
18,StudySeq19,-43.57726914940394,-45.34267731154307,-47.61780079024363,-48.86911171831652,-48.2826192757215,-51.525165886596525,-47.42675961817077,-49.17528475040213,-51.0506891976272,-46.56513225533483
19,StudySeq20,-49.29949143964153,-49.729067877779734,-50.404699227645146,-69.44955824852556,-50.13689174417815,-48.754012147327714,-43.10262088367319,-44.19280997866871,-45.088133770546165,-46.75790394677642
20,StudySeq21,-40.71398115706983,-41.30406931210358,-42.17403119182582,-43.041760149934284,-40.085481017836166,-42.06375286181132,-39.5153459327847,-37.70351856070191,-38.182427887281676,-40.1959956681004
21,StudySeq22,-40.781583357288646,-40.71594868180886,-40.13376553211776,-43.8964710528301,-42.878454755327844,-42.00974386575463,-43.20057858630366,-47.13244029147893,-80.67767296824523,-80.67767296824523
22,StudySeq23,-43.936585580687094,-42.08397199283791,-45.7846665935643,-44.5217368057123,-47.059095405546486,-51.8910888065875,-48.04540742757207,-44.68447037829678,-43.170706184589555,-48.087680586144415
23,StudySeq24,-40.76853844210529,-45.438975021656795,-42.82221277254863,-41.71683738340013,-36.83510525515623,-41.89408698871777,-40.867316475117164,-40.36522699336831,-40.86387457017096,-41.72409430987091
24,StudySeq25,-42.04967902573469,-48.17170404212017,-42.568862625836886,-42.649024849696076,-47.1542543235894,-47.96934382102032,-41.091066185819315,-44.82352155429213,-45.55141514639667,-42.203442486459714
25,StudySeq26,-44.85621794045082,-42.17216025403107,-48.17853214266066,-43.9323296126843,-46.46232673024551,-42.21639247084402,-47.00610768198024,-45.14168438934094,-45.861946022934106,-48.17163167194619
26,StudySeq27,-41.46948875595358,-45.47060298264882,-48.00163239328652,-47.37418922038757,-48.774921476306936,-47.007597969303134,-49.02724695441487,-46.121427733922474,-59.05472129964813,-82.21878628067049
27,StudySeq28,-42.18471935857129,-44.35718192003281,-46.135972535169756,-44.22399135794923,-49.005381548112624,-44.88343427859816,-46.138223332303404,-43.60050704431547,-49.26948306275126,-46.24755266964802
28,StudySeq29,-39.29564138733445,-41.93347180313215,-42.46660317324055,-48.022479192304075,-44.66396854108612,-44.292793521831946,-54.5783751345437,-51.636530282094995,-50.154972680010026,-46.333762850202056
29,StudySeq30,-42.88950084511244,-43.61527970692168,-61.838540192147285,-42.78836816961588,-43.54189208605708,-42.86395425120633,-44.827328766386216,-46.570050947200905,-43.88719403512702,-40.544227655733714
30,StudySeq31,-46.330908087162626,-44.61817310277065,-43.05680115828685,-45.10511396826482,-42.15463217425464,-45.697081473812446,-45.07414364697719,-39.99544634478066,-50.40297832014765,-80.77799181202649
31,StudySeq32,-40.64085842662649,-42.09365610834587,-45.20854479558504,-42.18110495692498,-42.13762583892368,-43.7482479620825,-42.44630827812154,-42.033095793082424,-41.976190385597576,-40.732063568561024
32,StudySeq33,-43.53517706774986,-39.45160110753115,-39.42542033296418,-42.7336536383477,-41.73509295720068,-44.473563140064705,-41.812778505220045,-42.83910662827808,-41.06225953757499,-49.206993266236026
33,StudySeq34,-52.57487042993156,-56.640875797899675,-57.65996169728466,-50.638304181541216,-49.639256656177366,-48.91680458805849,-51.10698005103316,-45.9647591471015,-39.11449010771866,-41.0619557673198
34,StudySeq35,-42.846413596476594,-45.75918444510897,-43.14338784181053,-44.7136896105851,-43.45632235008212,-44.70981455662089,-43.36494658364697,-46.2723851273379,-44.378428920231,-47.00761362364209
35,StudySeq36,-40.66595677320617,-43.321863357474655,-45.906019634481254,-52.09239879532562,-47.758620801769474,-44.76996222468085,-49.68495863678538,-49.129034407907064,-45.275670703314304,-47.44493608807112
36,StudySeq37,-47.888164791220106,-47.73833329935944,-45.16124932469528,-47.474600886343666,-45.372838966785125,-45.53491820050244,-47.64808368404863,-49.43613558114594,-48.2407458563594,-52.082912495393174
37,StudySeq38,-42.79969111000261,-62.65419910939026,-42.28688715993086,-44.61775529093483,-46.59064504084283,-49.80791760897733,-48.229331163951656,-49.22323161316862,-81.38863894349797,-81.38863894349797
38,StudySeq39,-40.83045826792103,-59.32474900126477,-46.49356980596253,-48.02540934665273,-47.91248029722684,-42.39525493170952,-44.084094291717,-48.723983610402456,-45.600538851779284,-50.08082222460364
39,StudySeq40,-44.50622576147596,-44.02035708785331,-46.600735809596046,-46.82153410014798,-44.78401526799167,-47.82335141525773,-46.9984430417169,-50.595821999823706,-81.59797199024152,-81.59797199024152
