,StudySeq,RMS_Energy1,RMS_Energy2,RMS_Energy3,RMS_Energy4,RMS_Energy5,RMS_Energy6,RMS_Energy7,RMS_Energy8,RMS_Energy9,RMS_Energy10
0,StudySeq1,0.0005809864,0.059860736,0.011711436,0.04551383,0.0015453938,0.02698996,0.0048613725,0.035385713,0.02673165,0.017710121
1,StudySeq2,0.019667307,0.05728207,0.081491955,0.04325323,0.024215495,0.0499081,0.064222954,0.04745064,0.03617224,0.003693582
2,StudySeq3,0.014721676,0.031238679,0.018126238,0.002960235,0.053587478,0.049350217,0.013574504,0.0070122886,0.041675672,0.0036338586
3,StudySeq4,0.060470726,0.022917522,0.014719404,0.056074772,0.057409592,0.011882537,0.028689072,0.012486045,0.025957622,0.03520713
4,StudySeq5,0.020409634,0.04744114,0.0037849178,0.025680948,0.034031905,0.019234408,0.0381844,0.016096748,0.018157734,0.003867656
5,StudySeq6,0.02721348,0.032741357,0.013862481,0.0025036572,0.027504949,0.01445974,0.005411546,0.032482833,0.024696073,0.013431901
6,StudySeq7,0.029443022,0.011523278,0.040393118,0.03280446,0.012627555,0.019191278,0.0012392887,0.001884778,0.04965215,0.02420989
7,StudySeq8,0.002122905,0.049151644,0.045531712,0.004530219,0.009995006,0.025970055,0.0581059,0.027532132,0.01919156,0.033344597
8,StudySeq9,0.008023945,0.011131945,0.01956753,0.0026007553,0.02166679,0.027996179,0.013304234,0.0012583407,0.029128429,0.014891461
9,StudySeq10,0.029579401,0.020972317,0.012841322,0.00088431296,0.023841588,0.006234241,0.042274445,0.02489694,0.031332072,0.003244266
10,StudySeq11,0.0015600673,0.010103083,0.037639286,0.003153154,0.028573403,0.00214443,0.015870543,0.0007601169,0.04068728,0.01202582
11,StudySeq12,0.0011084204,0.018624697,0.037196305,0.011617783,0.0149200335,0.02827606,0.00084552466,0.0061288467,0.016742755,0.015344526
12,StudySeq13,0.023428451,0.025759054,0.005346489,0.009887576,0.038402934,0.04598561,0.024570333,0.008635598,0.010723546,0.005730954
13,StudySeq14,0.008333514,0.035134897,0.03175143,0.023002636,0.0025135572,0.03805647,0.029331654,0.04095213,0.02028773,0.0025457884
14,StudySeq15,0.011413385,0.026959293,0.014233072,0.01903398,0.02490344,0.022865161,0.0036833917,0.10399101,0.03986123,0.0071643386
15,StudySeq16,0.0049309293,0.0014214239,0.006737533,0.0078313975,0.023534687,0.011923115,0.050982736,0.009225903,0.04063686,0.011853964
16,StudySeq17,0.001114764,0.035714958,0.013389178,0.021459678,0.042973816,0.017008374,0.0138988,0.010633645,0.0023779983,0.0010336079
17,StudySeq18,0.001867563,0.009602286,0.032206,0.006870397,0.004613807,0.0073902872,0.000741654,0.0028487039,0.023487102,0.018211376
18,StudySeq19,0.022722643,0.012224094,0.030710097,0.0016516758,0.0005061513,0.0035567153,0.0012934963,0.019686753,0.012724787,0.006046711
19,StudySeq20,0.016256634,0.021076726,0.0070041404,0.000594499,0.0008382397,0.019905554,0.016167935,0.034157965,0.007989446,0.011836649
20,StudySeq21,0.031563815,0.011562876,0.060688052,0.020285314,0.0612743,0.08029511,0.023143569,0.031213868,0.028100688,0.008985083
21,StudySeq22,0.037515413,0.016152836,0.042181082,0.07266825,0.01872382,0.014410866,0.003272281,0.016583512,0.030569421,0.003958562
22,StudySeq23,0.030168137,0.000865788,0.030084167,0.022338847,0.01502924,0.012043887,0.0135194035,0.02477075,0.0192606,0.020642761
23,StudySeq24,0.0014262669,0.038509127,0.019900702,0.004467456,0.1135897,0.0034749822,0.0064903614,0.054811366,0.029203717,0.016097005
24,StudySeq25,0.0007514172,0.0024106503,0.013972128,0.027669959,0.0032442543,0.013662301,0.042021144,0.017248573,0.015086486,0.01961186
25,StudySeq26,0.010960276,0.0346087,0.018604068,0.034182325,0.028274206,0.02246665,0.014246105,0.027533893,0.015969845,0.0014360711
26,StudySeq27,0.012441329,0.015983194,0.015725791,0.025721641,0.012602489,0.01124504,0.0006391675,0.016704746,0.021363324,0.001138854
27,StudySeq28,0.00965023,0.014422756,0.023300271,0.023805127,0.013985299,0.024876509,0.011116005,0.036042072,0.00523275,0.005467163
28,StudySeq29,0.006341545,0.0216107,0.027829995,0.012489175,0.010339852,0.016783947,0.0032339967,0.015152018,0.034881644,0.0012721447
29,StudySeq30,0.020113477,0.025476623,0.0008908122,0.021842215,0.015144588,0.017838094,0.011460649,0.014091486,0.014385806,0.0023799033
30,StudySeq31,0.0062071225,0.009866046,0.014475581,0.027602278,0.012446546,0.018688716,0.02457544,0.000610342,0.033722296,0.00090302044
31,StudySeq32,0.040759705,0.03752117,0.02560959,0.0292186,0.031377014,0.04157941,0.0006676146,0.015760109,0.06177371,0.0013205158
32,StudySeq33,0.0011644741,0.055013154,0.040722143,0.03366058,0.020806426,0.0065479125,0.019569311,0.0043029506,0.04849838,0.015486659
33,StudySeq34,0.006641243,0.0038836827,0.0019948215,0.0004226259,0.015725983,0.005137285,0.018051809,0.0035976386,0.084878296,0.005969734
34,StudySeq35,0.0140032265,0.00929404,0.019921351,0.021346482,0.047330003,0.03467418,0.010666491,0.014505407,0.009913956,0.01094863
35,StudySeq36,0.0015902823,0.052298833,0.028256826,0.008649324,0.009223649,0.011013312,0.001138799,0.017828837,0.020252852,0.0132475
36,StudySeq37,0.017035754,0.0014422958,0.002258189,0.0029511366,0.014323088,0.027400373,0.018339382,0.013015296,0.006838834,0.0009100756
37,StudySeq38,0.0025298798,0.0039841696,0.000561894,0.045526776,0.0064714663,0.0136105195,0.0050199735,0.015480788,0.018328536,0.0051303017
38,StudySeq39,0.05679784,0.0038269844,0.02311148,0.00042960994,0.0017814476,0.027765382,0.009483247,0.015684031,0.0144233,0.0099792285
39,StudySeq40,0.0012350642,0.011316185,0.027584855,0.0059229117,0.018314792,0.02022088,0.017508587,0.01611459,0.011573502,0.013289116
