,Left_Elbow_Angle,Right_Elbow_Angle
Cond_BA/StudySeq1,1.3828130542879893,1.3354585292310115
Cond_BA/StudySeq2,1.374588367278164,1.3786365757269705
Cond_BA/StudySeq3,1.3754229986447049,1.3550367899937181
Cond_BA/StudySeq4,1.3570939124334165,1.302954172198833
Cond_BA/StudySeq5,1.2507697717450028,1.1301965972162498
Cond_BA/StudySeq6,1.1797546642083272,1.1392981380224807
Cond_BA/StudySeq7,1.2600735997351231,1.22051190832417
Cond_BA/StudySeq8,1.1983077442386767,1.1022029504881399
Cond_BA/StudySeq9,1.3300661824355071,1.282365250841863
Cond_BA/StudySeq10,1.3884694946261156,1.3030549520765704
Cond_BA/StudySeq11,1.3793685682857433,1.279217751346922
Cond_BA/StudySeq12,1.3544679385373082,1.2181548721547353
Cond_BA/StudySeq13,1.2313115216583652,1.1413843470455514
Cond_BA/StudySeq14,1.2867942782365935,1.2647948923901935
Cond_BA/StudySeq15,1.2743966320830216,1.2748726616130224
Cond_BA/StudySeq16,1.2754912360903756,1.2736004140563317
Cond_BA/StudySeq17,1.2297201979902257,1.157901412310081
Cond_BA/StudySeq18,1.2874310123989317,1.2639962177551856
Cond_BA/StudySeq19,1.2901024610154093,1.2866859039599123
Cond_BA/StudySeq20,1.2632446571930531,1.2512665443101212
Cond_BA/StudySeq21,1.2860726291925448,1.2123909622761213
Cond_BA/StudySeq22,1.3443407044183,1.3305897991574036
Cond_BA/StudySeq23,1.3790178398919382,1.3809436954357042
Cond_BA/StudySeq24,1.3179583199941054,1.2936321565428022
Cond_BA/StudySeq25,1.361416753774654,1.3405930729888795
Cond_BA/StudySeq26,1.2924644622838184,1.2610885791626583
Cond_BA/StudySeq27,1.2871843028817214,1.2542469121026767
Cond_BA/StudySeq28,1.2218016276274815,1.184473612826251
Cond_BA/StudySeq29,1.2993573871568516,1.2654891990522432
Cond_BA/StudySeq30,1.3645436489138827,1.309842899600453
Cond_BA/StudySeq31,1.4311399423750581,1.3781683139601228
Cond_BA/StudySeq32,1.3691620729936855,1.3298079204516915
Cond_BA/StudySeq33,1.3732066618797323,1.2945327613279796
Cond_BA/StudySeq34,1.293959566917809,1.2916709215376947
Cond_BA/StudySeq35,1.2395357046372115,1.1987906891059887
Cond_BA/StudySeq36,1.2920481121861036,1.2481390856928953
Cond_BA/StudySeq37,1.280254050740872,1.2902387562440876
Cond_BA/StudySeq38,1.3059933702000346,1.2647153797895647
Cond_BA/StudySeq39,1.2733660682889323,1.1746915253454722
Cond_BA/StudySeq40,1.2765088299665153,1.2321939565730018
Cond_BT/StudySeq1,1.3365809880168258,1.2128013259332062
Cond_BT/StudySeq2,1.3254176464046046,1.20484660956903
Cond_BT/StudySeq3,1.3786717874329493,1.2500243637641255
Cond_BT/StudySeq4,1.3256588080458054,1.250550794844152
Cond_BT/StudySeq5,1.3149080845442505,1.2287569945390417
Cond_BT/StudySeq6,1.2420833380444432,1.2074971177061886
Cond_BT/StudySeq7,1.2825152672240465,1.1526074348768183
Cond_BT/StudySeq8,1.363262675264377,1.265748833334676
Cond_BT/StudySeq9,1.3201632026314478,1.3309161062225157
Cond_BT/StudySeq10,1.340965060593241,1.2064019166242228
Cond_BT/StudySeq11,1.252972694429491,1.2124442773066053
Cond_BT/StudySeq12,1.3333307975819262,1.2362506295516824
Cond_BT/StudySeq13,1.24429155095573,1.3153797583310756
Cond_BT/StudySeq14,1.2633040819627956,1.1690203462045714
Cond_BT/StudySeq15,1.3050470191179275,1.2809876105968956
Cond_BT/StudySeq16,1.245430333822982,1.2143609962019621
Cond_BT/StudySeq17,1.2816470560410052,1.1427497695147988
Cond_BT/StudySeq18,1.3442244472525213,1.2709162830014988
Cond_BT/StudySeq19,1.244058818852155,1.2922522061665926
Cond_BT/StudySeq20,1.2556743973799906,1.2481814428566274
Cond_BT/StudySeq21,1.2625711828701016,1.2163476292965294
Cond_BT/StudySeq22,1.216264897287874,1.2275153853626133
Cond_BT/StudySeq23,1.3191628641651627,1.246884255236754
Cond_BT/StudySeq24,1.2541867896694752,1.1223015391446713
Cond_BT/StudySeq25,1.4076114747026625,1.326418234994192
Cond_BT/StudySeq26,1.304989507299145,1.2414268362033758
Cond_BT/StudySeq27,1.274634083414885,1.2732891901214731
Cond_BT/StudySeq28,1.3535670548745216,1.2650270280547662
Cond_BT/StudySeq29,1.2316346125427122,1.2151538572422405
Cond_BT/StudySeq30,1.37861215811411,1.2974367495848065
Cond_BT/StudySeq31,1.2598992592587717,1.1417352701144936
Cond_BT/StudySeq32,1.2449901866135633,1.2870436083105774
Cond_BT/StudySeq33,1.2229899086200846,1.0759918847343575
Cond_BT/StudySeq34,1.305614364093069,1.1960670851157922
Cond_BT/StudySeq35,1.269465464260813,1.1918161210332372
Cond_BT/StudySeq36,1.272587576770779,1.1980244039656014
Cond_BT/StudySeq37,1.312964803868631,1.275632638679959
Cond_BT/StudySeq38,1.3420149345584143,1.2787139241613041
Cond_BT/StudySeq39,1.3165968603420726,1.2843790193467177
Cond_BT/StudySeq40,1.271103223145251,1.1729004897345905
Cond_N/StudySeq1,1.3886835603758696,1.4015830312410524
Cond_N/StudySeq2,1.4253880496059779,1.3453960052865868
Cond_N/StudySeq3,1.401736380681929,1.4206012425637429
Cond_N/StudySeq4,1.4517376299868412,1.4768196668360005
Cond_N/StudySeq5,1.2793724016125994,0.9443462672466508
Cond_N/StudySeq6,1.127972901253447,1.127835513653668
Cond_N/StudySeq7,1.2839245662003629,1.0214141701202293
Cond_N/StudySeq8,1.0327900586760759,0.8582112749512457
Cond_N/StudySeq9,1.4458075498829888,1.2877382759005442
Cond_N/StudySeq10,1.3287158993287802,1.2514016487964088
Cond_N/StudySeq11,1.2909335310505943,1.0847619780821631
Cond_N/StudySeq12,1.4885253386234891,1.312052119006723
Cond_N/StudySeq13,1.2041665852916532,1.2300217020703723
Cond_N/StudySeq14,1.308007291760959,1.2827084289268167
Cond_N/StudySeq15,1.0908179509532745,1.086871760212343
Cond_N/StudySeq16,1.2201923712583247,1.140689455153004
Cond_N/StudySeq17,1.1896757018782362,1.0877100323944127
Cond_N/StudySeq18,1.2363132027588157,1.2236750589546326
Cond_N/StudySeq19,1.2786933657783777,1.2134692535855478
Cond_N/StudySeq20,1.2802272810560615,1.2246569267761644
Cond_N/StudySeq21,1.2865989976209828,1.2159078797781764
Cond_N/StudySeq22,1.3134107359531482,1.1223927946660115
Cond_N/StudySeq23,1.1952832801020323,1.149615996127847
Cond_N/StudySeq24,1.4412090642129838,1.4218327972975027
Cond_N/StudySeq25,1.4229147706238088,1.4564356273000532
Cond_N/StudySeq26,1.28842137687496,1.1578350615023525
Cond_N/StudySeq27,1.292816601313795,1.2821877349259647
Cond_N/StudySeq28,1.4051763446091947,1.3335542670291969
Cond_N/StudySeq29,1.3749278089767263,1.2052842960346106
Cond_N/StudySeq30,1.304151554645365,1.127017001878149
Cond_N/StudySeq31,1.4750624721305785,1.2971087027204744
Cond_N/StudySeq32,1.3716536338725784,1.1841923492690904
Cond_N/StudySeq33,1.3785920745385056,1.1309703671925926
Cond_N/StudySeq34,1.2272071924335184,1.3219644603326386
Cond_N/StudySeq35,1.294071777898537,1.1539827799711695
Cond_N/StudySeq36,1.3406271939366279,1.3673510017386472
Cond_N/StudySeq37,1.1967952265277133,1.1979758596553138
Cond_N/StudySeq38,1.3120632821636822,1.2548547737204123
Cond_N/StudySeq39,1.3264449989318559,1.17992630888424
Cond_N/StudySeq40,1.357616330208888,1.3035717019129966
Cond_SA/StudySeq1,1.395815163311627,1.0880133341548024
Cond_SA/StudySeq2,1.1007294073876315,0.8381413986617388
Cond_SA/StudySeq3,1.13330329552658,0.9060747359174656
Cond_SA/StudySeq4,1.1458997591629771,1.0528874551112417
Cond_SA/StudySeq5,1.1885669463694823,1.1940649540852322
Cond_SA/StudySeq6,1.0880399931827072,1.0709737463517057
Cond_SA/StudySeq7,1.1044795261501819,1.0913618243092196
Cond_SA/StudySeq8,1.3803528194392636,1.2906337839679136
Cond_SA/StudySeq9,1.2212104030819315,1.1437204301654278
Cond_SA/StudySeq10,1.3150952909011775,1.2043063694487128
Cond_SA/StudySeq11,1.1955084185701412,1.3238965127621216
Cond_SA/StudySeq12,1.2852123825412238,1.3942025890016239
Cond_SA/StudySeq13,1.2611430135709343,1.301889314929096
Cond_SA/StudySeq14,1.3620315127565432,1.2801863969068017
Cond_SA/StudySeq15,1.3460107023862058,1.1799758249161203
Cond_SA/StudySeq16,1.320467042304369,1.2369640486946247
Cond_SA/StudySeq17,1.1583561181806323,1.2698812910803936
Cond_SA/StudySeq18,1.319923844930876,1.3248898270791147
Cond_SA/StudySeq19,1.2892804501569777,1.3977458465199526
Cond_SA/StudySeq20,1.2215327282797603,1.1931756940535934
Cond_SA/StudySeq21,1.0680024836169753,1.098376065335687
Cond_SA/StudySeq22,1.0237756154463762,0.988541115079575
Cond_SA/StudySeq23,1.1460721380491998,1.0384737447175356
Cond_SA/StudySeq24,1.1625686593912008,1.072683851882927
Cond_SA/StudySeq25,1.1404161429872295,1.0745471108413265
Cond_SA/StudySeq26,0.9757814519537682,1.0206660013156734
Cond_SA/StudySeq27,1.0471667397691093,1.1492431240374879
Cond_SA/StudySeq28,1.0775789996409202,1.0804210820981763
Cond_SA/StudySeq29,1.0648785718128857,0.9809900877468944
Cond_SA/StudySeq30,1.1966839040705881,1.282186885595595
Cond_SA/StudySeq31,0.9686033647192108,1.0724707260364827
Cond_SA/StudySeq32,1.150752724867316,1.1359381081909263
Cond_SA/StudySeq33,1.2434844646836347,1.0829836215220707
Cond_SA/StudySeq34,1.2592322352469827,1.2789133287586156
Cond_SA/StudySeq35,1.3275576966774776,1.2402771035220899
Cond_SA/StudySeq36,1.2466430878987058,1.3218307206420639
Cond_SA/StudySeq37,1.3017269087348844,1.2092779301849037
Cond_SA/StudySeq38,1.3048379250083355,1.4165209564018792
Cond_SA/StudySeq39,1.2669773341951103,1.248648921177147
Cond_SA/StudySeq40,1.4045688540084023,1.5040377092240296
Cond_SB/StudySeq1,1.227490010348787,1.1724393255770222
Cond_SB/StudySeq2,1.2925985043719694,1.2197168867680364
Cond_SB/StudySeq3,1.272293831561365,1.2032817091084278
Cond_SB/StudySeq4,1.2402973242127466,1.2300992775580895
Cond_SB/StudySeq5,1.2748830598854315,1.2079678615389013
Cond_SB/StudySeq6,1.1709211485944204,1.17148633414213
Cond_SB/StudySeq7,1.224233738179927,1.2276538109581652
Cond_SB/StudySeq8,1.2343738786677334,1.2133096259246547
Cond_SB/StudySeq9,1.239788003526198,1.192730172145398
Cond_SB/StudySeq10,1.2120905175753864,1.1668888696974788
Cond_SB/StudySeq11,1.2763265786469058,1.1840237796729038
Cond_SB/StudySeq12,1.2391156418940334,1.1740312003363025
Cond_SB/StudySeq13,1.2524018649279225,1.1609647336099862
Cond_SB/StudySeq14,1.2805246824667746,1.2696062174963298
Cond_SB/StudySeq15,1.214012238521197,1.1716005328108994
Cond_SB/StudySeq16,1.2177262968541553,1.1926940032694033
Cond_SB/StudySeq17,1.1954874512525986,1.1713227034399485
Cond_SB/StudySeq18,1.2464635759238614,1.1657300896792893
Cond_SB/StudySeq19,1.2516452039492159,1.2055819396746246
Cond_SB/StudySeq20,1.274509108042155,1.2088813183523197
Cond_SB/StudySeq21,1.312043338735319,1.2016647378344156
Cond_SB/StudySeq22,1.31845874247301,1.2400861994526635
Cond_SB/StudySeq23,1.236193868840819,1.2183870828213283
Cond_SB/StudySeq24,1.2907135894996442,1.2200769023047449
Cond_SB/StudySeq25,1.2445849719999658,1.1971298588365569
Cond_SB/StudySeq26,1.2095220568277945,1.1805313683649978
Cond_SB/StudySeq27,1.2375672682818064,1.186948328962254
Cond_SB/StudySeq28,1.272601908709884,1.24602335436106
Cond_SB/StudySeq29,1.2372223863784106,1.2011574752859417
Cond_SB/StudySeq30,1.2049604221723398,1.1707163597008798
Cond_SB/StudySeq31,1.2584684937440989,1.1728373800569034
Cond_SB/StudySeq32,1.215102063605735,1.1833316750499965
Cond_SB/StudySeq33,1.2782489214493356,1.2158872798363576
Cond_SB/StudySeq34,1.2194774017395706,1.1896114436139018
Cond_SB/StudySeq35,1.2749153665319677,1.2080334295150768
Cond_SB/StudySeq36,1.239868656005859,1.2170795878936091
Cond_SB/StudySeq37,1.267658191645641,1.210205785734995
Cond_SB/StudySeq38,1.2077013177126283,1.158614211806258
Cond_SB/StudySeq39,1.2234439668293864,1.1613356944453097
Cond_SB/StudySeq40,1.2252691466473573,1.1893561646260327
Cond_SC/StudySeq1,1.0920880020808927,1.138805469437778
Cond_SC/StudySeq2,1.0631405805656968,1.1316070141898482
Cond_SC/StudySeq3,1.118964741849502,1.1212699431445405
Cond_SC/StudySeq4,1.1054173765819022,1.1875324968139707
Cond_SC/StudySeq5,0.9123752271266171,0.9079909139045906
Cond_SC/StudySeq6,0.8485049753205882,1.2480473405913535
Cond_SC/StudySeq7,1.127648833766573,1.203643392878996
Cond_SC/StudySeq8,1.0200613785028663,1.0964288728180438
Cond_SC/StudySeq9,1.3246640242699015,1.312509288299284
Cond_SC/StudySeq10,1.4287683505391378,1.4604019683186549
Cond_SC/StudySeq11,1.4624767453268193,1.4548738306230888
Cond_SC/StudySeq12,1.3874127904302718,1.4362835809683103
Cond_SC/StudySeq13,1.017353022632978,1.1946541862821045
Cond_SC/StudySeq14,0.6347768626620413,0.9385612804757362
Cond_SC/StudySeq15,0.9030082024321979,1.1318743890260343
Cond_SC/StudySeq16,1.1384007408445935,1.1410381681191264
Cond_SC/StudySeq17,1.2994942514483732,1.26476534717512
Cond_SC/StudySeq18,1.2624206433881144,1.2975725053266811
Cond_SC/StudySeq19,1.3039171480900282,1.27252516560692
Cond_SC/StudySeq20,1.2810383636058489,1.264217644586528
Cond_SC/StudySeq21,1.3891909639180675,1.3841412404656486
Cond_SC/StudySeq22,1.473430803092989,1.4686015321276953
Cond_SC/StudySeq23,1.4481434240190532,1.438274267980036
Cond_SC/StudySeq24,1.4572012605108393,1.4538326597150297
Cond_SC/StudySeq25,1.4690028399108883,1.442760285157336
Cond_SC/StudySeq26,1.4013186972583935,1.4319499508963676
Cond_SC/StudySeq27,1.4415134589563579,1.4467082629468555
Cond_SC/StudySeq28,1.3937653763101296,1.4011202191553929
Cond_SC/StudySeq29,1.0382700955823554,1.3610971134983125
Cond_SC/StudySeq30,1.2707261300254873,1.2597257576452314
Cond_SC/StudySeq31,1.2806834037821326,1.281142746588977
Cond_SC/StudySeq32,1.2919286840797686,1.3271062223217553
Cond_SC/StudySeq33,1.275652047007277,1.3112736519932806
Cond_SC/StudySeq34,1.2906663452745166,1.333253776799953
Cond_SC/StudySeq35,1.3103362321358225,1.2581705758579889
Cond_SC/StudySeq36,1.2670935658043678,1.2576798317136775
Cond_SC/StudySeq37,1.290220976159428,1.0615365790496134
Cond_SC/StudySeq38,1.271401389069782,1.2789941562035136
Cond_SC/StudySeq39,1.2662517907001285,1.2538786575418348
Cond_SC/StudySeq40,1.2738409544208897,1.2644444622120168
Cond_SD/StudySeq1,1.3297292853318854,1.3261255108751389
Cond_SD/StudySeq2,1.1951826295037347,1.1971374545120708
Cond_SD/StudySeq3,1.3084432394613303,1.2535892937089381
Cond_SD/StudySeq4,1.2662823594731503,1.2475113840674281
Cond_SD/StudySeq5,1.3334610019937292,1.2902620568389431
Cond_SD/StudySeq6,1.2311830083813768,1.2035204683094387
Cond_SD/StudySeq7,1.274286650983495,1.151794308977089
Cond_SD/StudySeq8,1.3143782607973955,1.27740326991084
Cond_SD/StudySeq9,1.4649647563429389,1.4635968042119087
Cond_SD/StudySeq10,1.4282940558729988,1.418500479605389
Cond_SD/StudySeq11,1.4791801221635579,1.344959179644977
Cond_SD/StudySeq12,1.48114576032873,1.4238362660367552
Cond_SD/StudySeq13,1.2198077890056953,1.1287268936466004
Cond_SD/StudySeq14,1.2741054766055515,1.2904102504993753
Cond_SD/StudySeq15,1.361874881630582,1.3207647778224265
Cond_SD/StudySeq16,1.2948189227243996,1.3242201842396053
Cond_SD/StudySeq17,1.3808310321495143,1.4377752923354943
Cond_SD/StudySeq18,1.3838144764768758,1.3689673335431287
Cond_SD/StudySeq19,1.4026045534093132,1.4345237208348933
Cond_SD/StudySeq20,1.4038667325709993,1.3567361903656225
Cond_SD/StudySeq21,1.3056354530789211,1.3681504820539259
Cond_SD/StudySeq22,1.1661936127127228,1.0793640936913451
Cond_SD/StudySeq23,1.208530996623347,1.2568712295541056
Cond_SD/StudySeq24,1.2732999152169246,1.2501291452334249
Cond_SD/StudySeq25,1.1714631478814843,1.2663294256733064
Cond_SD/StudySeq26,1.2503075783989566,1.2482002583189293
Cond_SD/StudySeq27,1.2311206300300324,1.274821938354591
Cond_SD/StudySeq28,1.189348560710843,1.2143882002248392
Cond_SD/StudySeq29,1.1609972462623883,1.1577887228201558
Cond_SD/StudySeq30,1.11580385977342,1.1325230721734194
Cond_SD/StudySeq31,1.1741088737554168,1.1789788099621556
Cond_SD/StudySeq32,1.0750268834856382,0.9917092519841499
Cond_SD/StudySeq33,1.084451585462874,1.1030393324101484
Cond_SD/StudySeq34,1.2993333706052184,1.23554785223736
Cond_SD/StudySeq35,1.1448828814110228,1.117403522368998
Cond_SD/StudySeq36,1.261173869281929,1.2373997705054776
Cond_SD/StudySeq37,1.2007835074586939,1.1276426979383196
Cond_SD/StudySeq38,1.3225203023273657,1.2798380685754638
Cond_SD/StudySeq39,1.311201571713358,1.179479326982125
Cond_SD/StudySeq40,1.1706840948440478,1.1195477459903678
Cond_SE/StudySeq1,1.329078845770153,1.3180675507676332
Cond_SE/StudySeq2,1.368724382287969,1.329374505842584
Cond_SE/StudySeq3,1.3234636708399523,1.311568343429519
Cond_SE/StudySeq4,1.3175033211404494,1.3073991630324833
Cond_SE/StudySeq5,1.314142641745008,1.235173757231358
Cond_SE/StudySeq6,1.2218681180851019,1.183467628127559
Cond_SE/StudySeq7,1.2334472768328668,1.143201417067599
Cond_SE/StudySeq8,1.2235062766194331,1.1284465806983923
Cond_SE/StudySeq9,1.3643710150036212,1.3310382224176802
Cond_SE/StudySeq10,1.322769142397969,1.2936740095045791
Cond_SE/StudySeq11,1.3255341144453094,1.2326038381541304
Cond_SE/StudySeq12,1.2666999848418317,1.1990357384886279
Cond_SE/StudySeq13,1.211919354694982,1.1782116428290794
Cond_SE/StudySeq14,1.2598244957810187,1.2160759782224464
Cond_SE/StudySeq15,1.2726391487113242,1.2080763228419211
Cond_SE/StudySeq16,1.26696170872887,1.2368944797439054
Cond_SE/StudySeq17,1.2636585490439904,1.2330911834002407
Cond_SE/StudySeq18,1.259292142074491,1.2453927679902004
Cond_SE/StudySeq19,1.2527326343535465,1.255454289924439
Cond_SE/StudySeq20,1.2736602547328655,1.2531750652632754
Cond_SE/StudySeq21,1.2746128551346898,1.2305284632524842
Cond_SE/StudySeq22,1.2781546636773957,1.2365698068647404
Cond_SE/StudySeq23,1.30308476797951,1.292766842075984
Cond_SE/StudySeq24,1.338637308953847,1.3428233789140143
Cond_SE/StudySeq25,1.2690370401340152,1.2145138308025654
Cond_SE/StudySeq26,1.2632029027314595,1.2560830917282002
Cond_SE/StudySeq27,1.2551557105216342,1.2260498248450216
Cond_SE/StudySeq28,1.2721136347905373,1.170033860560706
Cond_SE/StudySeq29,1.2884331051442037,1.2478219192388902
Cond_SE/StudySeq30,1.3302642618739284,1.284764946137928
Cond_SE/StudySeq31,1.3125238454668098,1.236179415738165
Cond_SE/StudySeq32,1.3131977877795544,1.2675314616261208
Cond_SE/StudySeq33,1.311143860834031,1.2684682567732244
Cond_SE/StudySeq34,1.2688312627064042,1.2538652445438268
Cond_SE/StudySeq35,1.3175912149837516,1.2466665708982576
Cond_SE/StudySeq36,1.266739526034899,1.2070669669965537
Cond_SE/StudySeq37,1.2533328626405207,1.2296883768171354
Cond_SE/StudySeq38,1.3108618728776356,1.2941896931123034
Cond_SE/StudySeq39,1.237417942821091,1.2051794368843676
Cond_SE/StudySeq40,1.2922627867846168,1.2401186623007372
