,Velocity_of_Hands_Moving_Towards_Each_Other
Cond_BA/StudySeq1,0.4685447187191267
Cond_BA/StudySeq2,0.4363713681713689
Cond_BA/StudySeq3,0.5663208227084487
Cond_BA/StudySeq4,0.4280627288499741
Cond_BA/StudySeq5,0.5137418060597418
Cond_BA/StudySeq6,0.535017622951367
Cond_BA/StudySeq7,0.632022005049872
Cond_BA/StudySeq8,0.4943057976372799
Cond_BA/StudySeq9,0.4998895907500107
Cond_BA/StudySeq10,0.5230496086068842
Cond_BA/StudySeq11,0.44766013830652407
Cond_BA/StudySeq12,0.35695327736991195
Cond_BA/StudySeq13,0.4764476239536073
Cond_BA/StudySeq14,0.4194467352781213
Cond_BA/StudySeq15,0.31855588654034395
Cond_BA/StudySeq16,0.5914057398974892
Cond_BA/StudySeq17,0.46358023167868917
Cond_BA/StudySeq18,0.5112392370963512
Cond_BA/StudySeq19,0.5204473105358782
Cond_BA/StudySeq20,0.388189829767469
Cond_BA/StudySeq21,0.5293860492461988
Cond_BA/StudySeq22,0.34815178030876004
Cond_BA/StudySeq23,0.5303087606357694
Cond_BA/StudySeq24,0.425425147022601
Cond_BA/StudySeq25,0.4617333412986148
Cond_BA/StudySeq26,0.4730615989631659
Cond_BA/StudySeq27,0.4294155580752341
Cond_BA/StudySeq28,0.5375618576958986
Cond_BA/StudySeq29,0.4394889380369731
Cond_BA/StudySeq30,0.5316970367151193
Cond_BA/StudySeq31,0.38932070584502637
Cond_BA/StudySeq32,0.7332783869305173
Cond_BA/StudySeq33,0.3961410108336697
Cond_BA/StudySeq34,0.5659109931659485
Cond_BA/StudySeq35,0.4588293364007137
Cond_BA/StudySeq36,0.43893789761068763
Cond_BA/StudySeq37,0.3948215672905972
Cond_BA/StudySeq38,0.5538719001315294
Cond_BA/StudySeq39,0.45739607969217605
Cond_BA/StudySeq40,0.4509350214619035
Cond_BT/StudySeq1,0.633171227259299
Cond_BT/StudySeq2,0.6445434423635359
Cond_BT/StudySeq3,0.3637814715086099
Cond_BT/StudySeq4,0.6478638876607007
Cond_BT/StudySeq5,0.24033624150332053
Cond_BT/StudySeq6,0.6815977678607857
Cond_BT/StudySeq7,0.3415432520792777
Cond_BT/StudySeq8,0.5014160847168151
Cond_BT/StudySeq9,0.398878442121221
Cond_BT/StudySeq10,0.5810651036384766
Cond_BT/StudySeq11,0.572772913147874
Cond_BT/StudySeq12,0.7488842485753614
Cond_BT/StudySeq13,0.3723247077386726
Cond_BT/StudySeq14,0.6393176585800455
Cond_BT/StudySeq15,0.4965506917676713
Cond_BT/StudySeq16,0.37504367512976516
Cond_BT/StudySeq17,0.8024909022866391
Cond_BT/StudySeq18,0.4612118029128547
Cond_BT/StudySeq19,0.2970515625008377
Cond_BT/StudySeq20,0.8139559121382889
Cond_BT/StudySeq21,0.5674108584162012
Cond_BT/StudySeq22,0.4691418692180929
Cond_BT/StudySeq23,0.4914766901644639
Cond_BT/StudySeq24,0.39131194703059885
Cond_BT/StudySeq25,0.38264926437175706
Cond_BT/StudySeq26,0.4038229829881732
Cond_BT/StudySeq27,0.41189003183700207
Cond_BT/StudySeq28,0.40067055807155794
Cond_BT/StudySeq29,0.4829700442155634
Cond_BT/StudySeq30,0.36121709633860416
Cond_BT/StudySeq31,0.5084474061939411
Cond_BT/StudySeq32,0.7410840603364545
Cond_BT/StudySeq33,0.4352822209449522
Cond_BT/StudySeq34,0.6431694761196147
Cond_BT/StudySeq35,0.2621982358538999
Cond_BT/StudySeq36,0.6021822912514566
Cond_BT/StudySeq37,0.4412692940206426
Cond_BT/StudySeq38,0.23505744440650705
Cond_BT/StudySeq39,0.717952088840976
Cond_BT/StudySeq40,0.5244481509608131
Cond_N/StudySeq1,0.4580324346719772
Cond_N/StudySeq2,0.5127429257978428
Cond_N/StudySeq3,0.557543030363235
Cond_N/StudySeq4,0.4595410786556882
Cond_N/StudySeq5,0.4761214986534007
Cond_N/StudySeq6,0.6426319656859923
Cond_N/StudySeq7,0.5826766985115067
Cond_N/StudySeq8,0.3825715232902831
Cond_N/StudySeq9,0.4703216787819927
Cond_N/StudySeq10,0.4347242625791915
Cond_N/StudySeq11,0.5695233269063653
Cond_N/StudySeq12,0.5229491276008147
Cond_N/StudySeq13,0.5216834082791858
Cond_N/StudySeq14,0.5444089449678104
Cond_N/StudySeq15,0.6125410702250352
Cond_N/StudySeq16,0.564552870281439
Cond_N/StudySeq17,0.5809941698670084
Cond_N/StudySeq18,0.6022471933062883
Cond_N/StudySeq19,0.4728676199730492
Cond_N/StudySeq20,0.5764994112913654
Cond_N/StudySeq21,0.5923699357777249
Cond_N/StudySeq22,0.5534523097506365
Cond_N/StudySeq23,0.474066492637617
Cond_N/StudySeq24,0.6089363641957056
Cond_N/StudySeq25,0.41342398153348153
Cond_N/StudySeq26,0.5284692118155626
Cond_N/StudySeq27,0.45028327701205856
Cond_N/StudySeq28,0.582093627542354
Cond_N/StudySeq29,0.543915551427917
Cond_N/StudySeq30,0.5343405388765138
Cond_N/StudySeq31,0.4419750719933308
Cond_N/StudySeq32,0.4627468239758743
Cond_N/StudySeq33,0.35455209000041765
Cond_N/StudySeq34,0.5499611659989903
Cond_N/StudySeq35,0.4462002148908323
Cond_N/StudySeq36,0.4127275700143054
Cond_N/StudySeq37,0.5057104322330082
Cond_N/StudySeq38,0.503972797654668
Cond_N/StudySeq39,0.4759567340244828
Cond_N/StudySeq40,0.5255936061550514
Cond_SA/StudySeq1,0.4550362273733821
Cond_SA/StudySeq2,0.5356852958635734
Cond_SA/StudySeq3,0.41962910747020665
Cond_SA/StudySeq4,0.4560101331128006
Cond_SA/StudySeq5,0.3295585111542597
Cond_SA/StudySeq6,0.40088078263281346
Cond_SA/StudySeq7,0.44769472465040494
Cond_SA/StudySeq8,0.4813036888124229
Cond_SA/StudySeq9,0.5327154003238304
Cond_SA/StudySeq10,0.6990505774426857
Cond_SA/StudySeq11,0.48463223340185374
Cond_SA/StudySeq12,0.5234799496506426
Cond_SA/StudySeq13,0.42505885568758467
Cond_SA/StudySeq14,0.5051260683226867
Cond_SA/StudySeq15,0.38825687271737147
Cond_SA/StudySeq16,0.2865803484958625
Cond_SA/StudySeq17,0.392929681619345
Cond_SA/StudySeq18,0.4251516995944486
Cond_SA/StudySeq19,0.36432277588441725
Cond_SA/StudySeq20,0.46686613159557294
Cond_SA/StudySeq21,0.5875572407227261
Cond_SA/StudySeq22,0.42561605441610817
Cond_SA/StudySeq23,0.4255266296368212
Cond_SA/StudySeq24,0.42171226327200934
Cond_SA/StudySeq25,0.499032755253472
Cond_SA/StudySeq26,0.6698556756398764
Cond_SA/StudySeq27,0.5253734299514318
Cond_SA/StudySeq28,0.4760860136849077
Cond_SA/StudySeq29,0.5832248472560406
Cond_SA/StudySeq30,0.5124807075085255
Cond_SA/StudySeq31,0.5723170209169378
Cond_SA/StudySeq32,0.5661266919362714
Cond_SA/StudySeq33,0.4666397363872652
Cond_SA/StudySeq34,0.6547355715485189
Cond_SA/StudySeq35,0.46425486015016054
Cond_SA/StudySeq36,0.5976526849498394
Cond_SA/StudySeq37,0.6292615427694488
Cond_SA/StudySeq38,0.42425585874206934
Cond_SA/StudySeq39,0.5570996688572936
Cond_SA/StudySeq40,0.5707224155537377
Cond_SB/StudySeq1,0.5832385684703357
Cond_SB/StudySeq2,0.5704570038385417
Cond_SB/StudySeq3,0.3891551858989682
Cond_SB/StudySeq4,0.6073267859180618
Cond_SB/StudySeq5,0.47326891698157203
Cond_SB/StudySeq6,0.3795128364423884
Cond_SB/StudySeq7,0.41856635779972773
Cond_SB/StudySeq8,0.4565816203278367
Cond_SB/StudySeq9,0.35404699745305906
Cond_SB/StudySeq10,0.5493211782766287
Cond_SB/StudySeq11,0.4947640823662454
Cond_SB/StudySeq12,0.47960962923561806
Cond_SB/StudySeq13,0.38995620448477963
Cond_SB/StudySeq14,0.49203079529678306
Cond_SB/StudySeq15,0.4143512736654189
Cond_SB/StudySeq16,0.5193542761992577
Cond_SB/StudySeq17,0.5262303589313109
Cond_SB/StudySeq18,0.4835972776066685
Cond_SB/StudySeq19,0.557448935895369
Cond_SB/StudySeq20,0.4839471702272627
Cond_SB/StudySeq21,0.4598350798708789
Cond_SB/StudySeq22,0.667053771568952
Cond_SB/StudySeq23,0.48744606733017715
Cond_SB/StudySeq24,0.4465963584670273
Cond_SB/StudySeq25,0.5562652246207518
Cond_SB/StudySeq26,0.41162255170588996
Cond_SB/StudySeq27,0.5353993968564125
Cond_SB/StudySeq28,0.6133008963019041
Cond_SB/StudySeq29,0.5256963507887328
Cond_SB/StudySeq30,0.4555162692456348
Cond_SB/StudySeq31,0.46610603655060157
Cond_SB/StudySeq32,0.3945871301300107
Cond_SB/StudySeq33,0.5591594175770607
Cond_SB/StudySeq34,0.5256568642817487
Cond_SB/StudySeq35,0.5480559077371865
Cond_SB/StudySeq36,0.5975891775439789
Cond_SB/StudySeq37,0.49266449120385464
Cond_SB/StudySeq38,0.26800094425371085
Cond_SB/StudySeq39,0.5136727386983966
Cond_SB/StudySeq40,0.47754577354964534
Cond_SC/StudySeq1,0.6120566867062697
Cond_SC/StudySeq2,0.4414412411623485
Cond_SC/StudySeq3,0.637921133197934
Cond_SC/StudySeq4,0.3630124337569955
Cond_SC/StudySeq5,0.6541310201213939
Cond_SC/StudySeq6,0.4033668600139467
Cond_SC/StudySeq7,0.2854920455227839
Cond_SC/StudySeq8,0.4534254427817012
Cond_SC/StudySeq9,0.4459864319500915
Cond_SC/StudySeq10,0.6518795799138103
Cond_SC/StudySeq11,0.6363193372845555
Cond_SC/StudySeq12,0.658559097550654
Cond_SC/StudySeq13,0.47212162998627766
Cond_SC/StudySeq14,0.4533875255795872
Cond_SC/StudySeq15,0.500619455030164
Cond_SC/StudySeq16,0.5281569489577138
Cond_SC/StudySeq17,0.5463805434269658
Cond_SC/StudySeq18,0.5141248155563467
Cond_SC/StudySeq19,0.4382114002259731
Cond_SC/StudySeq20,0.5473257122157338
Cond_SC/StudySeq21,0.7661118159747342
Cond_SC/StudySeq22,0.5204588369020883
Cond_SC/StudySeq23,0.4760212460667439
Cond_SC/StudySeq24,0.5441900802306717
Cond_SC/StudySeq25,0.5016297967776158
Cond_SC/StudySeq26,0.41784225506144473
Cond_SC/StudySeq27,0.5338683574169764
Cond_SC/StudySeq28,0.44441819320752585
Cond_SC/StudySeq29,0.5184211807039245
Cond_SC/StudySeq30,0.8193671979228194
Cond_SC/StudySeq31,0.37652824988348477
Cond_SC/StudySeq32,0.4753898425072615
Cond_SC/StudySeq33,0.479340157261282
Cond_SC/StudySeq34,0.6867022639053536
Cond_SC/StudySeq35,0.5653241783932251
Cond_SC/StudySeq36,0.5434835041011993
Cond_SC/StudySeq37,0.6591742285679756
Cond_SC/StudySeq38,0.5919866586216056
Cond_SC/StudySeq39,0.42929232806553347
Cond_SC/StudySeq40,0.2730418317353864
Cond_SD/StudySeq1,0.47097637945739396
Cond_SD/StudySeq2,0.5922759562652441
Cond_SD/StudySeq3,0.4930460481999037
Cond_SD/StudySeq4,0.6509697874931853
Cond_SD/StudySeq5,0.6583583401744515
Cond_SD/StudySeq6,0.47450117239315537
Cond_SD/StudySeq7,0.3435273474476004
Cond_SD/StudySeq8,0.38541730044005895
Cond_SD/StudySeq9,0.616075780564404
Cond_SD/StudySeq10,0.5586008675638678
Cond_SD/StudySeq11,0.5252636492962327
Cond_SD/StudySeq12,0.48628379835869545
Cond_SD/StudySeq13,0.47472459772851966
Cond_SD/StudySeq14,0.4528012388800154
Cond_SD/StudySeq15,0.3644735822179235
Cond_SD/StudySeq16,0.47254261876180137
Cond_SD/StudySeq17,0.6509735971269353
Cond_SD/StudySeq18,0.508986479306187
Cond_SD/StudySeq19,0.4940145917680232
Cond_SD/StudySeq20,0.5930596737381684
Cond_SD/StudySeq21,0.6705931279443912
Cond_SD/StudySeq22,0.4176030695485493
Cond_SD/StudySeq23,0.4243215028862698
Cond_SD/StudySeq24,0.5907528000385082
Cond_SD/StudySeq25,0.5361194498280064
Cond_SD/StudySeq26,0.6188403946411758
Cond_SD/StudySeq27,0.375299315171557
Cond_SD/StudySeq28,0.47893134584501323
Cond_SD/StudySeq29,0.4117938807340716
Cond_SD/StudySeq30,0.7193257669936339
Cond_SD/StudySeq31,0.6504983902911287
Cond_SD/StudySeq32,0.6726047688417319
Cond_SD/StudySeq33,0.4618846527706372
Cond_SD/StudySeq34,0.34492855165637654
Cond_SD/StudySeq35,0.4338005010481056
Cond_SD/StudySeq36,0.4450392070262364
Cond_SD/StudySeq37,0.4081545438110907
Cond_SD/StudySeq38,0.4619647576282708
Cond_SD/StudySeq39,0.5359514473777733
Cond_SD/StudySeq40,0.5616147447453487
Cond_SE/StudySeq1,0.4152344760862009
Cond_SE/StudySeq2,0.4379938969205225
Cond_SE/StudySeq3,0.5695854415699222
Cond_SE/StudySeq4,0.32990734597748633
Cond_SE/StudySeq5,0.6112317828762815
Cond_SE/StudySeq6,0.40924470788786
Cond_SE/StudySeq7,0.45801658128750566
Cond_SE/StudySeq8,0.5905434005894433
Cond_SE/StudySeq9,0.5456005579487447
Cond_SE/StudySeq10,0.4537175769162578
Cond_SE/StudySeq11,0.3099634247634828
Cond_SE/StudySeq12,0.6314611655484003
Cond_SE/StudySeq13,0.5993351790338997
Cond_SE/StudySeq14,0.48692394772209197
Cond_SE/StudySeq15,0.45517059729379394
Cond_SE/StudySeq16,0.5166142127236746
Cond_SE/StudySeq17,0.5562317733436613
Cond_SE/StudySeq18,0.32188753895789046
Cond_SE/StudySeq19,0.49838944893321174
Cond_SE/StudySeq20,0.4939552641456275
Cond_SE/StudySeq21,0.5487339772698238
Cond_SE/StudySeq22,0.4688906772407136
Cond_SE/StudySeq23,0.5538765383737004
Cond_SE/StudySeq24,0.4781771288927547
Cond_SE/StudySeq25,0.4703327551995608
Cond_SE/StudySeq26,0.6537244101085571
Cond_SE/StudySeq27,0.5780798120848833
Cond_SE/StudySeq28,0.6169063780365912
Cond_SE/StudySeq29,0.556672044326996
Cond_SE/StudySeq30,0.5451708086826611
Cond_SE/StudySeq31,0.4464016715243056
Cond_SE/StudySeq32,0.5092790039512594
Cond_SE/StudySeq33,0.5546541225841973
Cond_SE/StudySeq34,0.49772365628131027
Cond_SE/StudySeq35,0.5695490295526907
Cond_SE/StudySeq36,0.5604144836829414
Cond_SE/StudySeq37,0.5584568045227575
Cond_SE/StudySeq38,0.4271464435631592
Cond_SE/StudySeq39,0.3855713378054671
Cond_SE/StudySeq40,0.37854522515690253
